"","numDistractors","distractorColors","RT","SEM","plot_color"
"1",1,"1",523.576489139874,16.1651864784216,"1"
"2",1,"2",493.479334281143,16.9207375797529,"2"
"3",1,"3",523.04860288565,17.1051531130364,"3"
"4",4,"1",548.333394419115,19.8059147109107,"1"
"5",4,"2",504.150074299437,16.5370564140768,"2"
"6",4,"3",542.493493777545,17.7757513818378,"3"
"7",9,"1",584.13242371665,18.5641780997048,"1"
"8",9,"2",517.806061513967,15.9717555091215,"2"
"9",9,"3",564.619241043671,17.1364357244168,"3"
"10",19,"1",611.77401382255,20.2254692479849,"1"
"11",19,"2",514.232218301428,13.4306177947949,"2"
"12",19,"3",584.112596990693,18.0735961600444,"3"
"13",31,"1",634.91194054856,19.7647358236797,"1"
"14",31,"2",526.701734647753,17.543537011512,"2"
"15",31,"3",582.927359768964,17.6192616794625,"3"
"16",0,"1",488.677982872582,16.0168281996278,"99"
"17",0,"2",488.677982872582,16.0168281996278,"99"
"18",0,"3",488.677982872582,16.0168281996278,"99"
