total_setsize,dcolor,RT,SEM,plot_color
2,1,1068.037253554174,69.13845616135632,1
2,2,904.505157919484,69.0881962150121,2
2,3,904.2350534759358,67.24991285533997,3
4,1,1399.7067119336598,88.52866682184212,1
4,2,1002.4096960953859,66.08376076710289,2
4,3,1091.8515017834225,79.5065184160614,3
8,1,1792.6513302143494,105.77033040495891,1
8,2,1145.069211812167,76.57097762191255,2
8,3,1227.7036951678604,75.15744393815665,3
16,1,2416.3404364391226,149.87516681579214,1
16,2,1335.6115382907392,82.156620206526,2
16,3,1491.8145651199823,104.22195087779942,3
1,1,790.0343428028419,64.71126633335241,99
1,2,790.0343428028419,64.71126633335241,99
1,3,790.0343428028419,64.71126633335241,99
